date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:52	171/171	---MC-	200	added ('OK')	text/plain	date:Mon,%2027%20Mar%202023%2006:52:50%20GMT	https://depoaplus.com/robots.txt		(from )
13:52:55	230672/230672	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2006:52:50%20GMT	https://depoaplus.com/	E:/WEBSITE/DEPO%20GADING/depoaplus.com/index.html	(from )
13:52:55	494800/494800	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2004:36:14%20GMT	https://depoaplus.com/wp-content/uploads/2022/07/gypsum-aplus-premium-g-strength.png	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/2022/07/gypsum-aplus-premium-g-strength.png	(from https://depoaplus.com/)
13:52:56	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Mon,%2027%20Mar%202023%2006:52:54%20GMT	https://depoaplus.com/wp-admin/admin-ajax.php?	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-admin/admin-ajaxd41d.php	(from https://depoaplus.com/)
13:52:56	263292/263292	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Feb%202023%2002:51:30%20GMT	https://depoaplus.com/wp-content/plugins/pagelayer/css/givecss.php?give=pagelayer-frontend.css%2Cnivo-lightbox.css%2Canimate.min.css%2Cowl.carousel.min.css%2Cowl.theme.default.min.css%2Cfont-awesome5.min.css&premium&ver=1.7.3	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/pagelayer/css/givecssefcd.css	(from https://depoaplus.com/)
13:52:56	94889/94889	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2002:49:35%20GMT	https://depoaplus.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://depoaplus.com/)
13:52:56	883/883	---MC-	200	added ('OK')	application/rss+xml	etag:%22896301d10b4b55bb166c986c907a351b%22	https://depoaplus.com/comments/feed/	E:/WEBSITE/DEPO%20GADING/depoaplus.com/comments/feed/index.html	(from https://depoaplus.com/)
13:52:57	14810/14810	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:51:08%20GMT	https://depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper.css?ver=7.0.0-alpha.21	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper3e03.css	(from https://depoaplus.com/)
13:52:57	59016/59016	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2004:37:41%20GMT	https://depoaplus.com/wp-includes/css/dashicons.min.css?ver=6.1.1	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-includes/css/dashicons.min6a4d.css	(from https://depoaplus.com/)
13:52:57	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:51:08%20GMT	https://depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popup.css?ver=2.0.6	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popup1717.css	(from https://depoaplus.com/)
13:52:57	31890/31890	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:51:08%20GMT	https://depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/block.css?ver=abe5f50cc88d5abe11428e9648df5151	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/block7e61.css	(from https://depoaplus.com/)
13:52:57	23553/23553	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:51:08%20GMT	https://depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/index.css?ver=2.0.6	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/index1717.css	(from https://depoaplus.com/)
13:52:58	201387/201387	---MC-	200	added ('OK')	application/rss+xml	etag:%22896301d10b4b55bb166c986c907a351b%22	https://depoaplus.com/feed/	E:/WEBSITE/DEPO%20GADING/depoaplus.com/feed/index.html	(from https://depoaplus.com/)
13:52:58	42449/42449	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202022%2007:58:25%20GMT	https://depoaplus.com/wp-content/plugins/whatsapp-for-wordpress/assets/dist/css/style.css?ver=6.1.1	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/whatsapp-for-wordpress/assets/dist/css/style6a4d.css	(from https://depoaplus.com/)
13:52:58	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2002:48:20%20GMT	https://depoaplus.com/wp-includes/css/classic-themes.min.css?ver=1	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-includes/css/classic-themes.min68b3.css	(from https://depoaplus.com/)
13:52:58	2047/2047	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202022%2004:14:36%20GMT	https://depoaplus.com/wp-content/plugins/templately/assets/css/editor.css?ver=1.3.6	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/templately/assets/css/editor6a9f.css	(from https://depoaplus.com/)
13:52:58	108417/108417	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:35%20GMT	https://depoaplus.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.7.0	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor/assets/css/frontend-lite.min3088.css	(from https://depoaplus.com/)
13:53:00	3433/3433	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:54:34%20GMT	https://depoaplus.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=10	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min840f.css	(from https://depoaplus.com/)
13:53:01	776/776	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2007:00:52%20GMT	https://depoaplus.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.12	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementord203.css	(from https://depoaplus.com/)
13:53:03	19279/19279	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:35%20GMT	https://depoaplus.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://depoaplus.com/)
13:53:03	1120/1120	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:46%20GMT	https://depoaplus.com/wp-content/uploads/elementor/css/post-1841.css?ver=1660189786	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/elementor/css/post-18416fc4.css	(from https://depoaplus.com/)
13:53:06	331516/331516	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2004:57:12%20GMT	https://depoaplus.com/wp-content/plugins/powerpack-elements/assets/css/min/frontend.min.css?ver=2.9.3	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/powerpack-elements/assets/css/min/frontend.minf342.css	(from https://depoaplus.com/)
13:53:06	11405/11405	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2004:47:10%20GMT	https://depoaplus.com/wp-content/plugins/elementor-pro%203.7.2/assets/css/frontend-lite.min.css?ver=3.7.2	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor-pro%203.7.2/assets/css/frontend-lite.minf3df.css	(from https://depoaplus.com/)
13:53:06	59344/59344	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:35%20GMT	https://depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.2.0	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minf08a.css	(from https://depoaplus.com/)
13:53:07	26702/26702	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:35%20GMT	https://depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=5.2.0	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minf08a.css	(from https://depoaplus.com/)
13:53:08	15563/15563	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:46%20GMT	https://depoaplus.com/wp-content/uploads/elementor/css/global.css?ver=1660189786	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/elementor/css/global6fc4.css	(from https://depoaplus.com/)
13:53:08	42837/42837	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2002:13:51%20GMT	https://depoaplus.com/wp-content/uploads/elementor/css/post-1848.css?ver=1661307231	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/elementor/css/post-1848aecb.css	(from https://depoaplus.com/)
13:53:08	75684/75684	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2007:00:52%20GMT	https://depoaplus.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.12	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendd203.css	(from https://depoaplus.com/)
13:53:09	12650/12650	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2009:53:29%20GMT	https://depoaplus.com/wp-content/uploads/elementor/css/post-1863.css?ver=1660211609	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/elementor/css/post-1863df7e.css	(from https://depoaplus.com/)
13:53:09	25443/25443	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2004:58:18%20GMT	https://depoaplus.com/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.6.3	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/happy-elementor-addons/assets/fonts/style.mina767.css	(from https://depoaplus.com/)
13:53:09	30999/30999	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2003:49:35%20GMT	https://depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://depoaplus.com/)
